,office,1_x,1_y,1_angle,2_x,2_y,2_angle,3_x,3_y,3_angle,4_x,4_y,4_angle,5_x,5_y,5_angle,size_x,size_y,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office4_960_246_aout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,960.0,246.0,a,1066.8886666666665
office4_960_246_bout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,960.0,246.0,b,1294.946
office4_960_82_aout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,960.0,82.0,a,1212.2166666666667
office4_960_82_bout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,960.0,82.0,b,1438.065
office5_0_0,office5,4.19,3.575,90.0,2.74,3.575,90.0,1.31,1.266,90.0,2.76,1.266,90.0,4.21,1.266,90.0,6.0,5.5,0.0,0.0,off,1943.6796666666671
office5_0_164_aout,office5,4.19,3.575,90.0,2.74,3.575,90.0,1.31,1.266,90.0,2.76,1.266,90.0,4.21,1.266,90.0,6.0,5.5,0.0,164.0,a,2808.778666666666
office5_0_164_bout,office5,4.19,3.575,90.0,2.74,3.575,90.0,1.31,1.266,90.0,2.76,1.266,90.0,4.21,1.266,90.0,6.0,5.5,0.0,164.0,b,2142.344333333333
office5_0_246_aout,office5,4.19,3.575,90.0,2.74,3.575,90.0,1.31,1.266,90.0,2.76,1.266,90.0,4.21,1.266,90.0,6.0,5.5,0.0,246.0,a,2210.1946666666668
office5_0_246_bout,office5,4.19,3.575,90.0,2.74,3.575,90.0,1.31,1.266,90.0,2.76,1.266,90.0,4.21,1.266,90.0,6.0,5.5,0.0,246.0,b,1962.683
office5_0_82_aout,office5,4.19,3.575,90.0,2.74,3.575,90.0,1.31,1.266,90.0,2.76,1.266,90.0,4.21,1.266,90.0,6.0,5.5,0.0,82.0,a,2117.6986666666667
office5_0_82_bout,office5,4.19,3.575,90.0,2.74,3.575,90.0,1.31,1.266,90.0,2.76,1.266,90.0,4.21,1.266,90.0,6.0,5.5,0.0,82.0,b,1803.6553333333336
office5_360_0,office5,4.19,3.575,90.0,2.74,3.575,90.0,1.31,1.266,90.0,2.76,1.266,90.0,4.21,1.266,90.0,6.0,5.5,360.0,0.0,off,1807.4793333333332
office5_360_164_aout,office5,4.19,3.575,90.0,2.74,3.575,90.0,1.31,1.266,90.0,2.76,1.266,90.0,4.21,1.266,90.0,6.0,5.5,360.0,164.0,a,1816.0966666666664
office5_360_164_bout,office5,4.19,3.575,90.0,2.74,3.575,90.0,1.31,1.266,90.0,2.76,1.266,90.0,4.21,1.266,90.0,6.0,5.5,360.0,164.0,b,2092.6510000000003
office5_360_246_aout,office5,4.19,3.575,90.0,2.74,3.575,90.0,1.31,1.266,90.0,2.76,1.266,90.0,4.21,1.266,90.0,6.0,5.5,360.0,246.0,a,1585.0813333333333
office5_360_246_bout,office5,4.19,3.575,90.0,2.74,3.575,90.0,1.31,1.266,90.0,2.76,1.266,90.0,4.21,1.266,90.0,6.0,5.5,360.0,246.0,b,1932.153
