A new study created in RDB with name: SVR_172814
Trial 129 finished with value: -2.487048591307784 and parameters: {'kernel': 'rbf', 'epsilon': 0.36192444104169597, 'degree': 4, 'C': 0.8356936038505574}. Best is trial 39 with value: -0.018597391464526103.
Trial 126 finished with value: -4.0293557288310335 and parameters: {'kernel': 'linear', 'epsilon': 0.3646498146802998, 'degree': 2, 'C': 0.006700861847354439}. Best is trial 39 with value: -0.018597391464526103.
Trial 127 finished with value: -2.6271561278281754 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.7697893419705496, 'degree': 4, 'C': 0.46416912795107934}. Best is trial 39 with value: -0.018597391464526103.
Trial 131 finished with value: -4.941322019229609 and parameters: {'kernel': 'poly', 'epsilon': 0.7499466529972281, 'degree': 2, 'C': 0.08621473324320512}. Best is trial 39 with value: -0.018597391464526103.
Trial 136 finished with value: -0.681175565163909 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.7164532900438285, 'degree': 4, 'C': 3.82239387592556}. Best is trial 39 with value: -0.018597391464526103.
Trial 135 finished with value: -4.611203237957114 and parameters: {'kernel': 'linear', 'epsilon': 0.945359376223679, 'degree': 3, 'C': 0.0038020585573907543}. Best is trial 39 with value: -0.018597391464526103.
Trial 133 finished with value: -5.350538296825491 and parameters: {'kernel': 'poly', 'epsilon': 0.1753113216419514, 'degree': 3, 'C': 0.0012254052685396625}. Best is trial 39 with value: -0.018597391464526103.
Trial 137 finished with value: -0.6871269753321547 and parameters: {'kernel': 'rbf', 'epsilon': 0.9826753332154681, 'degree': 4, 'C': 2.574201758883088}. Best is trial 39 with value: -0.018597391464526103.
Trial 132 finished with value: -0.021424192714210345 and parameters: {'kernel': 'linear', 'epsilon': 0.8651373501503186, 'degree': 5, 'C': 2.201173000840478}. Best is trial 39 with value: -0.018597391464526103.
Trial 138 finished with value: -0.023623404721723574 and parameters: {'kernel': 'linear', 'epsilon': 0.6346036965236868, 'degree': 5, 'C': 1.5455874642407181}. Best is trial 39 with value: -0.018597391464526103.
Trial 124 finished with value: -5.385938986243882 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.49512079541403375, 'degree': 2, 'C': 0.002945562424744947}. Best is trial 39 with value: -0.018597391464526103.
Trial 134 finished with value: -5.424195929951836 and parameters: {'kernel': 'poly', 'epsilon': 0.7660880376174146, 'degree': 2, 'C': 0.0006503514066762171}. Best is trial 39 with value: -0.018597391464526103.
Trial 139 finished with value: -4.547538187358154 and parameters: {'kernel': 'linear', 'epsilon': 0.9246154252349318, 'degree': 3, 'C': 0.004134247045948467}. Best is trial 39 with value: -0.018597391464526103.
