A new study created in RDB with name: Poly_ElasticNet_93751
Trial 125 finished with value: 0.34735105844592584 and parameters: {'n_components': 6, 'degree': 1, 'alpha': 0.8647392827354854, 'l1_ratio': 0.30292716733878455, 'max_iter': 65013}. Best is trial 1 with value: 0.7997489209884635.
Trial 116 finished with value: 0.7388392648954545 and parameters: {'n_components': 6, 'degree': 3, 'alpha': 0.0053551876133416405, 'l1_ratio': 0.5079117902999944, 'max_iter': 14910}. Best is trial 1 with value: 0.7997489209884635.
Trial 85 finished with value: 0.6395584738022284 and parameters: {'n_components': 8, 'degree': 4, 'alpha': 0.00033826859093620716, 'l1_ratio': 0.2133286744405195, 'max_iter': 48388}. Best is trial 1 with value: 0.7997489209884635.
Trial 127 finished with value: 0.7219516779782036 and parameters: {'n_components': 3, 'degree': 4, 'alpha': 0.17254078577663187, 'l1_ratio': 0.8759327304280656, 'max_iter': 57445}. Best is trial 1 with value: 0.7997489209884635.
Trial 129 finished with value: 0.3499817883944392 and parameters: {'n_components': 7, 'degree': 1, 'alpha': 0.3455529134830677, 'l1_ratio': 0.6708777822930736, 'max_iter': 28167}. Best is trial 1 with value: 0.7997489209884635.
Trial 130 finished with value: 0.5956504008098855 and parameters: {'n_components': 3, 'degree': 2, 'alpha': 0.0008015989227485629, 'l1_ratio': 0.00683171263468485, 'max_iter': 86102}. Best is trial 1 with value: 0.7997489209884635.
Trial 131 finished with value: 0.7343358576085062 and parameters: {'n_components': 7, 'degree': 2, 'alpha': 0.004332788083148183, 'l1_ratio': 0.26481638896640003, 'max_iter': 8677}. Best is trial 1 with value: 0.7997489209884635.
Trial 132 finished with value: 0.22066761690061742 and parameters: {'n_components': 1, 'degree': 3, 'alpha': 0.22528394219452552, 'l1_ratio': 0.49210636344294867, 'max_iter': 20080}. Best is trial 1 with value: 0.7997489209884635.
Trial 122 finished with value: 0.7078959039957032 and parameters: {'n_components': 3, 'degree': 5, 'alpha': 0.36095295435128594, 'l1_ratio': 0.31952705728898256, 'max_iter': 45009}. Best is trial 1 with value: 0.7997489209884635.
Trial 77 finished with value: 0.7920885934106213 and parameters: {'n_components': 9, 'degree': 3, 'alpha': 0.004000470852256977, 'l1_ratio': 0.28415061216069437, 'max_iter': 87301}. Best is trial 1 with value: 0.7997489209884635.
Trial 134 finished with value: 0.7257381558227027 and parameters: {'n_components': 3, 'degree': 3, 'alpha': 0.003071035342806051, 'l1_ratio': 0.6557774849306559, 'max_iter': 46338}. Best is trial 1 with value: 0.7997489209884635.
Trial 135 finished with value: 0.5057761832974593 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 9.774354797751005, 'l1_ratio': 0.030281120826477825, 'max_iter': 75696}. Best is trial 1 with value: 0.7997489209884635.
Trial 137 finished with value: 0.4528908989829426 and parameters: {'n_components': 2, 'degree': 3, 'alpha': 1.3767663556059875, 'l1_ratio': 0.802862516989433, 'max_iter': 11399}. Best is trial 1 with value: 0.7997489209884635.
Trial 136 finished with value: 0.18895752742922492 and parameters: {'n_components': 7, 'degree': 1, 'alpha': 6.2010567927504585, 'l1_ratio': 0.019242458516283922, 'max_iter': 45602}. Best is trial 1 with value: 0.7997489209884635.
Trial 138 finished with value: 0.532016789581006 and parameters: {'n_components': 2, 'degree': 4, 'alpha': 0.001935464741054956, 'l1_ratio': 0.42497582699925285, 'max_iter': 83912}. Best is trial 1 with value: 0.7997489209884635.
Trial 140 finished with value: 0.7010298442643307 and parameters: {'n_components': 7, 'degree': 3, 'alpha': 0.7113025629521719, 'l1_ratio': 0.18522101988535034, 'max_iter': 28059}. Best is trial 1 with value: 0.7997489209884635.
Trial 141 finished with value: 0.43510571863913244 and parameters: {'n_components': 9, 'degree': 1, 'alpha': 0.0017046422640087085, 'l1_ratio': 0.3080538399195277, 'max_iter': 57156}. Best is trial 1 with value: 0.7997489209884635.
Trial 142 finished with value: 0.04817474620419615 and parameters: {'n_components': 2, 'degree': 1, 'alpha': 0.0008654945576133716, 'l1_ratio': 0.03236148852321985, 'max_iter': 23827}. Best is trial 1 with value: 0.7997489209884635.
Trial 139 finished with value: 0.7110505596490809 and parameters: {'n_components': 3, 'degree': 5, 'alpha': 0.40329062420295125, 'l1_ratio': 0.7259782314462223, 'max_iter': 22902}. Best is trial 1 with value: 0.7997489209884635.
Trial 144 finished with value: 0.7288503110647262 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 6.469360301530637, 'l1_ratio': 0.20393010339583462, 'max_iter': 35135}. Best is trial 1 with value: 0.7997489209884635.
Trial 145 finished with value: 0.6603747951910052 and parameters: {'n_components': 4, 'degree': 4, 'alpha': 8.865343059632563, 'l1_ratio': 0.7899343575850373, 'max_iter': 86731}. Best is trial 1 with value: 0.7997489209884635.
