A new study created in RDB with name: SVR_65137
Trial 116 finished with value: 0.7242747247813054 and parameters: {'kernel': 'poly', 'epsilon': 0.9496723846045558, 'degree': 4, 'C': 5.507006193881809}. Best is trial 112 with value: 0.7772807227025529.
Trial 131 finished with value: 0.6975963287117046 and parameters: {'kernel': 'poly', 'epsilon': 0.04159301527949488, 'degree': 3, 'C': 4.4429416965351}. Best is trial 112 with value: 0.7772807227025529.
Trial 127 finished with value: 0.2772901232951793 and parameters: {'kernel': 'poly', 'epsilon': 0.5896613362546331, 'degree': 5, 'C': 0.8771970018863909}. Best is trial 112 with value: 0.7772807227025529.
Trial 130 finished with value: 0.5524783999764392 and parameters: {'kernel': 'linear', 'epsilon': 0.7736591184768814, 'degree': 5, 'C': 0.061536049904303225}. Best is trial 112 with value: 0.7772807227025529.
Trial 132 finished with value: 0.6415709087537611 and parameters: {'kernel': 'poly', 'epsilon': 0.007842683936958306, 'degree': 6, 'C': 3.8235458076632076}. Best is trial 112 with value: 0.7772807227025529.
Trial 129 finished with value: -0.05391181680637528 and parameters: {'kernel': 'poly', 'epsilon': 0.16800909011420884, 'degree': 6, 'C': 0.009973124482234346}. Best is trial 112 with value: 0.7772807227025529.
Trial 136 finished with value: -0.046936182076393794 and parameters: {'kernel': 'poly', 'epsilon': 0.699041224819949, 'degree': 4, 'C': 0.02824837747021794}. Best is trial 112 with value: 0.7772807227025529.
Trial 139 finished with value: -0.06471148757890452 and parameters: {'kernel': 'poly', 'epsilon': 0.9143438006421857, 'degree': 4, 'C': 0.00041107947504759784}. Best is trial 112 with value: 0.7772807227025529.
Trial 134 finished with value: 0.7741955786269573 and parameters: {'kernel': 'linear', 'epsilon': 0.9895622210667281, 'degree': 2, 'C': 1.5611988794779263}. Best is trial 112 with value: 0.7772807227025529.
Trial 135 finished with value: -0.05715510227564752 and parameters: {'kernel': 'rbf', 'epsilon': 0.3683156222604004, 'degree': 2, 'C': 0.0096907539051367}. Best is trial 112 with value: 0.7772807227025529.
Trial 141 finished with value: -0.06363203687369391 and parameters: {'kernel': 'poly', 'epsilon': 0.6023249793912324, 'degree': 5, 'C': 0.0001802137250663104}. Best is trial 112 with value: 0.7772807227025529.
