A new study created in RDB with name: Poly_ElasticNet_71149
Trial 124 finished with value: 0.7554384674181963 and parameters: {'n_components': 7, 'degree': 4, 'l1_ratio': 0.8485906019108143, 'max_iter': 79909}. Best is trial 89 with value: 0.8301173458287995.
Trial 134 finished with value: 0.7658641157326678 and parameters: {'n_components': 2, 'degree': 2, 'l1_ratio': 0.506670052978326, 'max_iter': 49356}. Best is trial 89 with value: 0.8301173458287995.
Trial 132 finished with value: 0.40690827859855655 and parameters: {'n_components': 3, 'degree': 1, 'l1_ratio': 0.4546170701436837, 'max_iter': 35184}. Best is trial 89 with value: 0.8301173458287995.
Trial 133 finished with value: 0.7977366533673795 and parameters: {'n_components': 8, 'degree': 2, 'l1_ratio': 0.893428924000713, 'max_iter': 13941}. Best is trial 89 with value: 0.8301173458287995.
Trial 109 finished with value: 0.7466382351068572 and parameters: {'n_components': 6, 'degree': 5, 'l1_ratio': 0.2587657852318499, 'max_iter': 11415}. Best is trial 89 with value: 0.8301173458287995.
Trial 135 finished with value: 0.8274387278268966 and parameters: {'n_components': 10, 'degree': 2, 'l1_ratio': 0.5451860470193038, 'max_iter': 33210}. Best is trial 89 with value: 0.8301173458287995.
Trial 122 finished with value: 0.7948547051384343 and parameters: {'n_components': 8, 'degree': 4, 'l1_ratio': 0.17183299075669456, 'max_iter': 49112}. Best is trial 89 with value: 0.8301173458287995.
Trial 69 finished with value: 0.7095550597229254 and parameters: {'n_components': 9, 'degree': 5, 'l1_ratio': 0.03079053176528057, 'max_iter': 6701}. Best is trial 89 with value: 0.8301173458287995.
Trial 129 finished with value: 0.812286681118839 and parameters: {'n_components': 11, 'degree': 4, 'l1_ratio': 0.656113459376471, 'max_iter': 43290}. Best is trial 89 with value: 0.8301173458287995.
Trial 136 finished with value: 0.7816487886831419 and parameters: {'n_components': 4, 'degree': 4, 'l1_ratio': 0.9565335241478401, 'max_iter': 10543}. Best is trial 89 with value: 0.8301173458287995.
Trial 131 finished with value: 0.7812125222693803 and parameters: {'n_components': 4, 'degree': 5, 'l1_ratio': 0.05405517616755995, 'max_iter': 7294}. Best is trial 89 with value: 0.8301173458287995.
Trial 95 finished with value: 0.7636995661085427 and parameters: {'n_components': 5, 'degree': 5, 'l1_ratio': 0.7041116228991515, 'max_iter': 48128}. Best is trial 89 with value: 0.8301173458287995.
Trial 141 finished with value: 0.7776586907781344 and parameters: {'n_components': 5, 'degree': 3, 'l1_ratio': 0.12091218445919871, 'max_iter': 48130}. Best is trial 89 with value: 0.8301173458287995.
Trial 142 finished with value: 0.7829686065948215 and parameters: {'n_components': 4, 'degree': 2, 'l1_ratio': 0.9527281864302771, 'max_iter': 8373}. Best is trial 89 with value: 0.8301173458287995.
Trial 145 finished with value: 0.79780528726281 and parameters: {'n_components': 8, 'degree': 3, 'l1_ratio': 0.2992076391917663, 'max_iter': 98585}. Best is trial 89 with value: 0.8301173458287995.
Trial 147 finished with value: 0.77366269933719 and parameters: {'n_components': 3, 'degree': 3, 'l1_ratio': 0.17395416492916904, 'max_iter': 47013}. Best is trial 89 with value: 0.8301173458287995.
Trial 144 finished with value: 0.7848987279239318 and parameters: {'n_components': 7, 'degree': 2, 'l1_ratio': 0.8043229428126366, 'max_iter': 42877}. Best is trial 89 with value: 0.8301173458287995.
Trial 143 finished with value: 0.717592432405117 and parameters: {'n_components': 10, 'degree': 1, 'l1_ratio': 0.26146369015404813, 'max_iter': 37647}. Best is trial 89 with value: 0.8301173458287995.
Trial 150 finished with value: 0.8290063320022071 and parameters: {'n_components': 10, 'degree': 2, 'l1_ratio': 0.6904458757845477, 'max_iter': 95336}. Best is trial 89 with value: 0.8301173458287995.
Trial 149 finished with value: 0.8259753242332083 and parameters: {'n_components': 10, 'degree': 2, 'l1_ratio': 0.4065643902702618, 'max_iter': 52066}. Best is trial 89 with value: 0.8301173458287995.
Trial 146 finished with value: 0.8145672979838648 and parameters: {'n_components': 9, 'degree': 4, 'l1_ratio': 0.9072711069687442, 'max_iter': 67294}. Best is trial 89 with value: 0.8301173458287995.
Trial 153 finished with value: 0.8019227041769664 and parameters: {'n_components': 10, 'degree': 3, 'l1_ratio': 0.08523836314534561, 'max_iter': 21005}. Best is trial 89 with value: 0.8301173458287995.
Trial 148 finished with value: 0.779487948189152 and parameters: {'n_components': 5, 'degree': 3, 'l1_ratio': 0.6574327534432544, 'max_iter': 74755}. Best is trial 89 with value: 0.8301173458287995.
Trial 154 finished with value: 0.8268363033244495 and parameters: {'n_components': 11, 'degree': 2, 'l1_ratio': 0.6989022430829122, 'max_iter': 70283}. Best is trial 89 with value: 0.8301173458287995.
Trial 152 finished with value: 0.7727825380456355 and parameters: {'n_components': 6, 'degree': 3, 'l1_ratio': 0.08524983673198161, 'max_iter': 41874}. Best is trial 89 with value: 0.8301173458287995.
Trial 158 finished with value: 0.8046238936989818 and parameters: {'n_components': 9, 'degree': 3, 'l1_ratio': 0.1129350806839663, 'max_iter': 22085}. Best is trial 89 with value: 0.8301173458287995.
Trial 159 finished with value: 0.8044248108670352 and parameters: {'n_components': 8, 'degree': 3, 'l1_ratio': 0.7132534180530524, 'max_iter': 66736}. Best is trial 89 with value: 0.8301173458287995.
Trial 160 finished with value: 0.7661461663817298 and parameters: {'n_components': 2, 'degree': 2, 'l1_ratio': 0.5849788326953693, 'max_iter': 65859}. Best is trial 89 with value: 0.8301173458287995.
